,HH_ID,F2,Fuel_roster_name,F3,F3_oth,F_4,F_4oth,F_5,F_6,F_7,F_8,F_9,F_10,F_4_text,F_11,F_12,F_13_1,F_13oth,F_14__1,F_14__2,F_14__3,F_14__4,F_14__5,F_14__6,F_14__7,F_14__8,F_14__111
223,1002500360407.0,Pressurized mantle lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
224,1002500360407.0,"Other, specify",,No,,,,,,,,,,,,,,,,,,,,,,,
225,1002500360501.0,Candle,,No,,,,,,,,,,,,,,,,,,,,,,,
226,1002500360501.0,Open wick lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
227,1002500360501.0,Hurricane lamp with glass cover,,No,,,,,,,,,,,,,,,,,,,,,,,
228,1002500360501.0,Pressurized mantle lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
229,1002500360501.0,"Other, specify",,No,,,,,,,,,,,,,,,,,,,,,,,
230,1002500360601.0,Candle,,No,,,,,,,,,,,,,,,,,,,,,,,
231,1002500360601.0,Open wick lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
232,1002500360601.0,Hurricane lamp with glass cover,,No,,,,,,,,,,,,,,,,,,,,,,,
233,1002500360601.0,Pressurized mantle lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
234,1002500360601.0,"Other, specify",,No,,,,,,,,,,,,,,,,,,,,,,,
235,1002500360602.0,Candle,,No,,,,,,,,,,,,,,,,,,,,,,,
236,1002500360602.0,Open wick lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
237,1002500360602.0,Hurricane lamp with glass cover,,No,,,,,,,,,,,,,,,,,,,,,,,
238,1002500360602.0,Pressurized mantle lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
239,1002500360602.0,"Other, specify",,No,,,,,,,,,,,,,,,,,,,,,,,
240,1002500360802.0,Candle,,No,,,,,,,,,,,,,,,,,,,,,,,
241,1002500360802.0,Open wick lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
242,1002500360802.0,Hurricane lamp with glass cover,,No,,,,,,,,,,,,,,,,,,,,,,,
243,1002500360802.0,Pressurized mantle lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
244,1002500360802.0,"Other, specify",,No,,,,,,,,,,,,,,,,,,,,,,,
245,1002500360901.0,Candle,,No,,,,,,,,,,,,,,,,,,,,,,,
246,1002500360901.0,Open wick lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
247,1002500360901.0,Hurricane lamp with glass cover,,No,,,,,,,,,,,,,,,,,,,,,,,
248,1002500360901.0,Pressurized mantle lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
249,1002500360901.0,"Other, specify",,No,,,,,,,,,,,,,,,,,,,,,,,
250,1002500361001.0,Candle,,No,,,,,,,,,,,,,,,,,,,,,,,
251,1002500361001.0,Open wick lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
252,1002500361001.0,Hurricane lamp with glass cover,,No,,,,,,,,,,,,,,,,,,,,,,,
253,1002500361001.0,Pressurized mantle lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
254,1002500361001.0,"Other, specify",,No,,,,,,,,,,,,,,,,,,,,,,,
255,1002500361102.0,Candle,,No,,,,,,,,,,,,,,,,,,,,,,,
256,1002500361102.0,Open wick lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
