HHID,Id,C141,C41_Recode,C142,C142_B,C143,C144,C145,C146,C148,C149,C150,C151,C152,C153,C153_SO,C154_FULL,C154_PARTIAL,C155,C156,C157,C158,C159,C160,C160_SO,C160_SO_RECODE
111145802,Solar lighting system,888,888,Yes,Yes,Yes,Solar lighting system,3.0,20.0,20.0,No,1.0,0.0,"Bought, fully paid",, ,10000.0,,,,No,No,5.0,Maintenance and availability of spare parts, , 
111145803,Solar lighting system,SUNWORTH,SUNWORTH,Yes,Yes,Yes,Solar lighting system,4.0,21.0,35.0,No,4.0,0.0,"Bought, fully paid",, ,18000.0,,,,No,No,6.0,Cannot power large appliances, , 
111145804,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145805,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145806,Solar lighting system,888,888,Yes,Yes,Yes,Solar lighting system,4.0,30.0,18.0,No,9.0,0.0,"Bought, fully paid",, ,9000.0,,,,No,No,4.0,Duration of service too short, , 
111145807,Solar lighting system,888,888,Yes,Yes,Yes,Solar lighting system,4.0,40.0,55.0,No,5.0,0.0,"Bought, fully paid",, ,15000.0,,,,No,No,12.0,Breaks too often, , 
111145808,Solar lighting system,888,888,Yes,No,Yes,Solar lighting system,2.0,888.0,,No,2.0,1.0,"Bought, fully paid",, ,8000.0,,,,No,No,10.0,Duration of service too short, , 
111145809,Solar lantern,888,888,No,No,Yes,Solar Lantern,,,,No,4.0,0.0,"Bought, fully paid",, ,4500.0,,,,No,No,4.0,Duration of service too short, , 
111145810,Solar lighting system,888,888,Yes,Yes,Yes,Solar lighting system,4.0,35.0,20.0,No,6.0,0.0,"Bought, fully paid",, ,16000.0,,,,No,No,888.0,Cannot power large appliances, , 
111145811,Solar lighting system,888,888,Yes,Yes,Yes,Solar lighting system,4.0,40.0,75.0,No,11.0,0.0,"Bought, fully paid",, ,30000.0,,,,No,No,3.0,Duration of service too short, , 
111145812,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145813,Solar lighting system,888,888,Yes,Yes,Yes,Solar lighting system,5.0,100.0,80.0,No,3.0,0.0,"Bought, fully paid",, ,30000.0,,,,No,No,5.0,Battery problems, , 
111145814,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145815,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145901,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145902,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145903,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145904,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145905,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145906,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145907,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145908,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145909,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145910,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145911,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145912,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145913,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145914,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145915,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
132222601,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
132222602,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
132222603,Solar lantern,888,888,No,No,Yes,Solar Lantern,,,,No,1.0,0.0,Received for free,Local government, ,,,,,,No,1.0,No problems, , 
132222604,Solar lantern,d.light,DELIGHT,No,No,Yes,Solar Lantern,,,,No,3.0,0.0,Received for free,Local private organizations (NGO), ,,,,,,No,1.0,No problems, , 
132222605,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
132222606,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
132222607,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
132222608,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
132222609,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
132222610,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
132222611,Solar lantern,d.light - S20 Lamp,DELIGHT,No,No,No,Solar Lantern,,,,No,1.0,1.0,Received for free,"Other, specify",Himalayan Bank Limited,,,,,,No,2.0,No problems, , 
132222612,Solar lantern,d light -S20 LAMP,DELIGHT,No,No,No,Solar Lantern,,,,No,1.0,0.0,Received for free,"Other, specify",Himalayan Bank Limited,,,,,,No,2.0,Duration of service too short, , 
132222613,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
132222614,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
132222615,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
