,CommunityID,HI_1,HI_2,HI_3,HI_4,HI_5,HI_6,a8,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,D1_a,D1_b,D2,D3,D4
171,07520701406,7,52,7,14,6,2,19,1130.0,0,0,0,11,0,0,0,12,31,1,-111.0,29,2,2,3.0,2,3
172,07530300603,7,53,3,6,3,2,1,709.0,0,0,3,10,0,0,0,16,15,1,10000.0,11,1,1,7.0,2,6
173,07530302901,7,53,3,29,1,2,2,800.0,0,0,10,12,0,0,0,25,20,1,10000.0,7,1,1,17.0,2,6
174,07530400605,7,53,4,6,5,1,1,500.0,2,1,200,3,1,0,0,15,10,4,,96,1,1,1.0,1,1
175,07540401003,7,54,4,10,3,2,4,1220.0,0,0,0,10,0,0,0,8,30,1,5000.0,16,1,1,5.0,1,6
176,07540401303,7,54,4,13,3,2,3,660.0,0,0,0,7,0,0,0,27,74,1,6000.0,2,3,3,5.0,2,7
177,07540700103,7,54,7,1,3,1,1,1100.0,1,0,10,50,5,0,0,150,30,1,400000.0,60,2,2,4.0,1,4
178,07540700202,7,54,7,2,2,1,1,512.0,0,0,10,10,16,0,20,16,10,4,-777.0,1,2,2,2.0,1,1
179,07540700315,7,54,7,3,15,1,3,200.0,0,0,50,2,0,0,0,50,30,4,,99,1,1,0.0,1,1
180,07550200101,7,55,2,1,1,2,16,1236.0,0,0,0,3,0,0,0,20,50,1,-111.0,2,1,1,16.0,1,5
181,07550200109,7,55,2,1,9,1,1,1500.0,0,1,200,2,0,0,0,0,0,9,,100,1,1,0.0,1,1
182,07551300102,7,55,13,1,2,1,1,1000.0,1,0,500,3,0,0,0,100,50,4,,95,2,2,1.0,1,1
183,07551300206,7,55,13,2,6,1,1,1500.0,0,0,200,3,0,0,2,100,80,4,,99,1,1,1.0,1,1
184,07551300314,7,55,13,3,14,1,1,500.0,0,1,10,2,0,0,0,100,30,4,,95,1,2,2.0,1,1
185,07560201903,7,56,2,19,3,2,9,655.0,0,0,0,8,0,0,0,150,30,1,3500.0,18,1,1,11.0,4,7
186,07560202402,7,56,2,24,2,2,8,520.0,0,0,0,5,0,0,0,30,11,1,4000.0,10,1,1,13.0,1,5
187,07570900601,7,57,9,6,1,2,1,3758.0,0,0,15,3,20,1,0,0,0,1,25000.0,25,2,2,28.0,4,7
188,07570901802,7,57,9,18,2,2,1,3691.0,0,0,10,3,23,0,0,0,35,1,20000.0,40,3,3,10.0,5,7
189,07580600101,7,58,6,1,1,2,12,523.0,0,0,0,12,0,0,0,47,10,1,-111.0,4,2,2,58.0,4,7
190,07580601309,7,58,6,13,9,2,13,1640.0,0,0,0,17,0,0,0,68,26,1,-111.0,3,2,2,18.0,2,7
191,07590401603,7,59,4,16,3,2,1,5940.0,0,0,2,2,46,0,0,0,60,1,25000.0,1,2,2,30.0,4,6
192,07590800501,7,59,8,5,1,2,1,1086.0,0,0,0,1,31,1,0,0,0,2,10000.0,15,2,2,3.0,2,7
193,07610101505,7,61,1,15,5,2,11,2000.0,0,0,0,8,0,0,0,42,17,1,-111.0,5,1,1,17.0,2,7
194,07610101604,7,61,1,16,4,2,10,1509.0,0,0,0,3,0,0,0,43,30,1,-111.0,5,2,2,26.0,5,7
195,07630101203,7,63,1,12,3,2,14,792.0,0,0,0,5,0,0,0,5,5,1,-111.0,13,2,2,5.0,2,7
196,07630102501,7,63,1,25,1,2,15,594.0,0,0,0,4,0,0,0,21,35,1,-111.0,4,2,3,6.0,1,7
197,07640101801,7,64,1,18,1,2,22,525.0,0,0,0,0,0,0,0,46,120,1,-111.0,27,2,2,15.0,1,7
198,07640300502,7,64,3,5,2,2,23,735.0,0,0,0,5,0,0,0,20,15,1,10000.0,50,2,2,4.0,4,3
199,07650101206,7,65,1,12,6,2,21,941.0,0,0,0,2,0,0,0,50,20,1,-111.0,21,2,2,45.0,1,8
200,07650105703,7,65,1,57,3,2,20,529.0,0,0,0,1,0,0,0,33,16,1,15000.0,23,2,2,10.5,1,7
201,07661900106,7,66,19,1,6,1,1,400.0,2,0,30,5,0,0,10,80,50,6,200.0,99,1,1,1.0,1,1
202,07661900421,7,66,19,4,21,1,1,10000.0,4,0,100,0,0,0,0,100,50,4,,100,1,1,1.0,1,1
203,12670500701,12,67,5,7,1,2,1,4910.0,0,0,5,3,18,0,0,0,20,1,20000.0,30,2,2,24.0,4,6
204,12690101901,12,69,1,19,1,2,1,3210.0,0,0,13,3,0,4,0,200,0,1,5000.0,1,2,2,35.0,3,1
205,13700100901,13,70,1,9,1,1,2,1100.0,0,0,0,0,0,1,0,0,0,4,-777.0,40,1,2,1.0,1,1
206,13700101407,13,70,1,14,7,1,9,1235.0,0,1,20,6,2,2,0,100,60,4,-111.0,100,1,1,0.25,1,1
207,13700101901,13,70,1,19,1,1,4,1000.0,0,0,0,15,2,0,1,0,50,2,-111.0,60,1,1,4.0,1,1
208,14720100113,14,72,1,1,13,1,2,250.0,1,3,15,1,0,2,2,0,0,10,-777.0,100,1,1,0.5,1,1
