,CommunityID,HI_1,HI_2,HI_3,HI_4,HI_5,HI_6,A8,Item,KH_a,KH_b,KH_86,KH_87,KH_88
200,01030800402,1,3,8,4,2,1,1,1,1,19.0,,,
201,01030800402,1,3,8,4,2,1,1,2,1,3.0,,,
202,01030800402,1,3,8,4,2,1,1,3,1,8.0,,,
203,01030800402,1,3,8,4,2,1,1,4,1,1.0,,,
204,01030800402,1,3,8,4,2,1,1,5,2,,1.0,2.0,
205,01030800402,1,3,8,4,2,1,1,6,2,,1.0,2.0,
206,01030800402,1,3,8,4,2,1,1,7,1,2.0,,,
207,01030800402,1,3,8,4,2,1,1,8,2,,1.0,2.0,
208,01030800402,1,3,8,4,2,1,1,9,1,20.0,,,
209,01030800402,1,3,8,4,2,1,1,10,2,,1.0,2.0,
210,01030800402,1,3,8,4,2,1,1,11,1,2.0,,,1.0
211,01030800402,1,3,8,4,2,1,1,12,1,2.0,,,1.0
212,01030800402,1,3,8,4,2,1,1,13,1,2.0,,,1.0
213,01030800402,1,3,8,4,2,1,1,14,1,1.0,,,1.0
214,01030800402,1,3,8,4,2,1,1,15,1,2.0,,,1.0
215,01030800402,1,3,8,4,2,1,1,16,1,1.0,,,1.0
216,01030800402,1,3,8,4,2,1,1,17,2,,1.0,2.0,
217,01030800402,1,3,8,4,2,1,1,18,2,,1.0,2.0,
218,01030800402,1,3,8,4,2,1,1,19,1,2.0,,,1.0
219,01030800402,1,3,8,4,2,1,1,20,2,,1.0,2.0,
220,01041100201,1,4,11,2,1,1,1,1,1,12.0,,,
221,01041100201,1,4,11,2,1,1,1,2,1,2.0,,,
222,01041100201,1,4,11,2,1,1,1,3,1,6.0,,,
223,01041100201,1,4,11,2,1,1,1,4,2,,1.0,2.0,
224,01041100201,1,4,11,2,1,1,1,5,2,,1.0,2.0,
225,01041100201,1,4,11,2,1,1,1,6,2,,1.0,2.0,
226,01041100201,1,4,11,2,1,1,1,7,1,1.0,,,
227,01041100201,1,4,11,2,1,1,1,8,2,,2.0,2.0,
228,01041100201,1,4,11,2,1,1,1,9,1,12.0,,,
229,01041100201,1,4,11,2,1,1,1,10,2,,1.0,2.0,
230,01041100201,1,4,11,2,1,1,1,11,1,2.0,,,1.0
231,01041100201,1,4,11,2,1,1,1,12,1,1.0,,,1.0
232,01041100201,1,4,11,2,1,1,1,13,1,2.0,,,1.0
233,01041100201,1,4,11,2,1,1,1,14,2,,1.0,1.0,
234,01041100201,1,4,11,2,1,1,1,15,1,2.0,,,1.0
235,01041100201,1,4,11,2,1,1,1,16,1,1.0,,,1.0
236,01041100201,1,4,11,2,1,1,1,17,1,1.0,,,1.0
237,01041100201,1,4,11,2,1,1,1,18,2,,1.0,1.0,
238,01041100201,1,4,11,2,1,1,1,19,1,1.0,,,1.0
239,01041100201,1,4,11,2,1,1,1,20,2,,1.0,1.0,
240,01050100110,1,5,1,1,10,1,1,1,1,9.0,,,
241,01050100110,1,5,1,1,10,1,1,2,1,2.0,,,
242,01050100110,1,5,1,1,10,1,1,3,1,4.0,,,
243,01050100110,1,5,1,1,10,1,1,4,2,,1.0,2.0,
244,01050100110,1,5,1,1,10,1,1,5,2,,1.0,2.0,
245,01050100110,1,5,1,1,10,1,1,6,2,,1.0,2.0,
246,01050100110,1,5,1,1,10,1,1,7,1,2.0,,,
247,01050100110,1,5,1,1,10,1,1,8,2,,1.0,2.0,
248,01050100110,1,5,1,1,10,1,1,9,1,6.0,,,
249,01050100110,1,5,1,1,10,1,1,10,1,1.0,,,
250,01050100110,1,5,1,1,10,1,1,11,1,1.0,,,1.0
251,01050100110,1,5,1,1,10,1,1,12,2,,1.0,2.0,
252,01050100110,1,5,1,1,10,1,1,13,1,2.0,,,1.0
253,01050100110,1,5,1,1,10,1,1,14,2,,1.0,2.0,
254,01050100110,1,5,1,1,10,1,1,15,1,3.0,,,1.0
255,01050100110,1,5,1,1,10,1,1,16,2,,1.0,2.0,
256,01050100110,1,5,1,1,10,1,1,17,2,,1.0,2.0,
257,01050100110,1,5,1,1,10,1,1,18,2,,1.0,1.0,
258,01050100110,1,5,1,1,10,1,1,19,1,1.0,,,1.0
259,01050100110,1,5,1,1,10,1,1,20,2,,1.0,2.0,
260,01050101108,1,5,1,11,8,2,1,1,2,,1.0,1.0,
261,01050101108,1,5,1,11,8,2,1,2,2,,2.0,1.0,
262,01050101108,1,5,1,11,8,2,1,3,2,,1.0,1.0,
263,01050101108,1,5,1,11,8,2,1,4,2,,1.0,1.0,
264,01050101108,1,5,1,11,8,2,1,5,2,,1.0,1.0,
265,01050101108,1,5,1,11,8,2,1,6,2,,1.0,1.0,
266,01050101108,1,5,1,11,8,2,1,7,2,,1.0,1.0,
267,01050101108,1,5,1,11,8,2,1,8,2,,2.0,2.0,
268,01050101108,1,5,1,11,8,2,1,9,2,,2.0,2.0,
269,01050101108,1,5,1,11,8,2,1,10,1,1.0,,,
270,01050101108,1,5,1,11,8,2,1,11,2,,1.0,1.0,
271,01050101108,1,5,1,11,8,2,1,12,2,,1.0,1.0,
272,01050101108,1,5,1,11,8,2,1,13,2,,1.0,1.0,
273,01050101108,1,5,1,11,8,2,1,14,2,,1.0,1.0,
274,01050101108,1,5,1,11,8,2,1,15,2,,1.0,1.0,
275,01050101108,1,5,1,11,8,2,1,16,2,,1.0,1.0,
276,01050101108,1,5,1,11,8,2,1,17,2,,1.0,1.0,
277,01050101108,1,5,1,11,8,2,1,18,2,,1.0,1.0,
278,01050101108,1,5,1,11,8,2,1,19,2,,1.0,1.0,
279,01050101108,1,5,1,11,8,2,1,20,2,,1.0,1.0,
280,01060100317,1,6,1,3,17,1,1,1,1,15.0,,,
281,01060100317,1,6,1,3,17,1,1,2,1,2.0,,,
282,01060100317,1,6,1,3,17,1,1,3,1,12.0,,,
