,CommunityID,HI_1,HI_2,HI_3,HI_4,HI_5,HI_6,a8,F2,F3
377,03121000302,3,12,10,3,2,1,1,9,2
378,03121000302,3,12,10,3,2,1,2,1,2
379,03121000302,3,12,10,3,2,1,2,2,2
380,03121000302,3,12,10,3,2,1,2,3,2
381,03121000302,3,12,10,3,2,1,2,4,2
382,03121000302,3,12,10,3,2,1,2,5,2
383,03121000302,3,12,10,3,2,1,2,6,2
384,03121000302,3,12,10,3,2,1,2,7,2
385,03121000302,3,12,10,3,2,1,2,8,2
386,03121000302,3,12,10,3,2,1,2,9,2
387,03130200801,3,13,2,8,1,2,15,1,1
388,03130200801,3,13,2,8,1,2,15,2,2
389,03130200801,3,13,2,8,1,2,15,3,2
390,03130200801,3,13,2,8,1,2,15,4,2
391,03130200801,3,13,2,8,1,2,15,5,2
392,03130200801,3,13,2,8,1,2,15,6,2
393,03130200801,3,13,2,8,1,2,15,7,1
394,03130200801,3,13,2,8,1,2,15,8,2
395,03130200801,3,13,2,8,1,2,15,9,2
396,03130202504,3,13,2,25,4,2,16,1,1
397,03130202504,3,13,2,25,4,2,16,2,1
398,03130202504,3,13,2,25,4,2,16,3,1
399,03130202504,3,13,2,25,4,2,16,4,2
400,03130202504,3,13,2,25,4,2,16,5,2
401,03130202504,3,13,2,25,4,2,16,6,2
402,03130202504,3,13,2,25,4,2,16,7,1
403,03130202504,3,13,2,25,4,2,16,8,1
404,03130202504,3,13,2,25,4,2,16,9,2
405,03130401201,3,13,4,12,1,2,17,1,1
406,03130401201,3,13,4,12,1,2,17,2,2
407,03130401201,3,13,4,12,1,2,17,3,2
408,03130401201,3,13,4,12,1,2,17,4,2
409,03130401201,3,13,4,12,1,2,17,5,1
410,03130401201,3,13,4,12,1,2,17,6,2
411,03130401201,3,13,4,12,1,2,17,7,1
412,03130401201,3,13,4,12,1,2,17,8,1
413,03130401201,3,13,4,12,1,2,17,9,2
414,03130803001,3,13,8,30,1,2,20,1,2
415,03130803001,3,13,8,30,1,2,20,2,1
416,03130803001,3,13,8,30,1,2,20,3,2
417,03130803001,3,13,8,30,1,2,20,4,2
418,03130803001,3,13,8,30,1,2,20,5,2
419,03130803001,3,13,8,30,1,2,20,6,2
420,03130803001,3,13,8,30,1,2,20,7,2
421,03130803001,3,13,8,30,1,2,20,8,1
422,03130803001,3,13,8,30,1,2,20,9,2
423,03131000101,3,13,10,1,1,1,1,1,1
424,03131000101,3,13,10,1,1,1,1,2,2
425,03131000101,3,13,10,1,1,1,1,3,2
426,03131000101,3,13,10,1,1,1,1,4,1
427,03131000101,3,13,10,1,1,1,1,5,1
428,03131000101,3,13,10,1,1,1,1,6,2
429,03131000101,3,13,10,1,1,1,1,7,2
430,03131000101,3,13,10,1,1,1,1,8,2
431,03131000101,3,13,10,1,1,1,1,9,2
432,03140400104,3,14,4,1,4,1,1,1,1
433,03140400104,3,14,4,1,4,1,1,2,2
434,03140400104,3,14,4,1,4,1,1,3,2
435,03140400104,3,14,4,1,4,1,1,4,2
436,03140400104,3,14,4,1,4,1,1,5,2
437,03140400104,3,14,4,1,4,1,1,6,2
438,03140400104,3,14,4,1,4,1,1,7,1
439,03140400104,3,14,4,1,4,1,1,8,2
440,03140400104,3,14,4,1,4,1,1,9,2
441,03140901602,3,14,9,16,2,2,21,1,2
442,03140901602,3,14,9,16,2,2,21,2,2
443,03140901602,3,14,9,16,2,2,21,3,2
444,03140901602,3,14,9,16,2,2,21,4,2
445,03140901602,3,14,9,16,2,2,21,5,2
446,03140901602,3,14,9,16,2,2,21,6,2
447,03140901602,3,14,9,16,2,2,21,7,2
448,03140901602,3,14,9,16,2,2,21,8,1
449,03140901602,3,14,9,16,2,2,21,9,2
450,03141000205,3,14,10,2,5,2,18,1,1
451,03141000205,3,14,10,2,5,2,18,2,2
452,03141000205,3,14,10,2,5,2,18,3,2
453,03141000205,3,14,10,2,5,2,18,4,2
454,03141000205,3,14,10,2,5,2,18,5,2
455,03141000205,3,14,10,2,5,2,18,6,2
456,03141000205,3,14,10,2,5,2,18,7,2
457,03141000205,3,14,10,2,5,2,18,8,1
458,03141000205,3,14,10,2,5,2,18,9,2
459,03141001902,3,14,10,19,2,2,19,1,1
460,03141001902,3,14,10,19,2,2,19,2,1
461,03141001902,3,14,10,19,2,2,19,3,2
462,03141001902,3,14,10,19,2,2,19,4,2
463,03141001902,3,14,10,19,2,2,19,5,1
464,03141001902,3,14,10,19,2,2,19,6,1
465,03141001902,3,14,10,19,2,2,19,7,1
466,03141001902,3,14,10,19,2,2,19,8,1
467,03141001902,3,14,10,19,2,2,19,9,2
468,03141202605,3,14,12,26,5,2,2,1,2
469,03141202605,3,14,12,26,5,2,2,2,2
470,03141202605,3,14,12,26,5,2,2,3,2
471,03141202605,3,14,12,26,5,2,2,4,2
472,03141202605,3,14,12,26,5,2,2,5,1
473,03141202605,3,14,12,26,5,2,2,6,2
474,03141202605,3,14,12,26,5,2,2,7,2
475,03141202605,3,14,12,26,5,2,2,8,2
476,03141202605,3,14,12,26,5,2,2,9,2
477,03141700416,3,14,17,4,16,1,3,1,2
478,03141700416,3,14,17,4,16,1,3,2,2
479,03141700416,3,14,17,4,16,1,3,3,2
480,03141700416,3,14,17,4,16,1,3,4,2
481,03141700416,3,14,17,4,16,1,3,5,2
482,03141700416,3,14,17,4,16,1,3,6,2
483,03141700416,3,14,17,4,16,1,3,7,2
484,03141700416,3,14,17,4,16,1,3,8,2
485,03141700416,3,14,17,4,16,1,3,9,2
486,03150300101,3,15,3,1,1,2,2,1,1
487,03150300101,3,15,3,1,1,2,2,2,1
488,03150300101,3,15,3,1,1,2,2,3,2
489,03150300101,3,15,3,1,1,2,2,4,2
490,03150300101,3,15,3,1,1,2,2,5,2
491,03150300101,3,15,3,1,1,2,2,6,2
492,03150300101,3,15,3,1,1,2,2,7,1
493,03150300101,3,15,3,1,1,2,2,8,1
494,03150300101,3,15,3,1,1,2,2,9,2
495,03150300905,3,15,3,9,5,2,5,1,2
496,03150300905,3,15,3,9,5,2,5,2,2
497,03150300905,3,15,3,9,5,2,5,3,2
498,03150300905,3,15,3,9,5,2,5,4,2
499,03150300905,3,15,3,9,5,2,5,5,2
500,03150300905,3,15,3,9,5,2,5,6,2
501,03150300905,3,15,3,9,5,2,5,7,1
502,03150300905,3,15,3,9,5,2,5,8,1
503,03150300905,3,15,3,9,5,2,5,9,2
504,03150800103,3,15,8,1,3,1,1,1,2
505,03150800103,3,15,8,1,3,1,1,2,2
506,03150800103,3,15,8,1,3,1,1,3,2
507,03150800103,3,15,8,1,3,1,1,4,2
508,03150800103,3,15,8,1,3,1,1,5,2
509,03150800103,3,15,8,1,3,1,1,6,2
510,03150800103,3,15,8,1,3,1,1,7,2
511,03150800103,3,15,8,1,3,1,1,8,2
512,03150800103,3,15,8,1,3,1,1,9,2
513,03151900506,3,15,19,5,6,2,6,1,2
514,03151900506,3,15,19,5,6,2,6,2,1
515,03151900506,3,15,19,5,6,2,6,3,2
516,03151900506,3,15,19,5,6,2,6,4,2
517,03151900506,3,15,19,5,6,2,6,5,2
518,03151900506,3,15,19,5,6,2,6,6,1
519,03151900506,3,15,19,5,6,2,6,7,1
520,03151900506,3,15,19,5,6,2,6,8,1
521,03151900506,3,15,19,5,6,2,6,9,2
522,03152000705,3,15,20,7,5,1,1,1,2
523,03152000705,3,15,20,7,5,1,1,2,2
524,03152000705,3,15,20,7,5,1,1,3,2
525,03152000705,3,15,20,7,5,1,1,4,2
526,03152000705,3,15,20,7,5,1,1,5,2
527,03152000705,3,15,20,7,5,1,1,6,2
528,03152000705,3,15,20,7,5,1,1,7,2
529,03152000705,3,15,20,7,5,1,1,8,2
530,03152000705,3,15,20,7,5,1,1,9,2
531,03160201902,3,16,2,19,2,2,3,1,2
532,03160201902,3,16,2,19,2,2,3,2,2
533,03160201902,3,16,2,19,2,2,3,3,2
534,03160201902,3,16,2,19,2,2,3,4,2
535,03160201902,3,16,2,19,2,2,3,5,2
536,03160201902,3,16,2,19,2,2,3,6,2
537,03160201902,3,16,2,19,2,2,3,7,2
538,03160201902,3,16,2,19,2,2,3,8,2
539,03160201902,3,16,2,19,2,2,3,9,2
540,03160204005,3,16,2,40,5,2,2,1,2
541,03160204005,3,16,2,40,5,2,2,2,2
542,03160204005,3,16,2,40,5,2,2,3,2
543,03160204005,3,16,2,40,5,2,2,4,1
544,03160204005,3,16,2,40,5,2,2,5,1
545,03160204005,3,16,2,40,5,2,2,6,2
546,03160204005,3,16,2,40,5,2,2,7,2
547,03160204005,3,16,2,40,5,2,2,8,2
548,03160204005,3,16,2,40,5,2,2,9,2
549,03160500103,3,16,5,1,3,1,1,1,2
