,HHID,IndividualID,quest_id,HI_1,HI_2,HI_3,HI_4,HI_5,HI_6,HI_7,A1,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,EAID
108,01010400404027,0101040040402706,26,1,1,4,4,4,2,27,6,1,3,4,2,,,,,,,,,,,,,,,1010488800404.0
109,01010400404027,0101040040402707,26,1,1,4,4,4,2,27,7,1,3,1,2,,,,,,,,,,,,,,,1010488800404.0
110,01010400404027,0101040040402708,26,1,1,4,4,4,2,27,8,2,3,9,1,1.0,1.0,2.0,2.0,,,,,,,,,,,1010488800404.0
111,01010400404046,0101040040404601,27,1,1,4,4,4,2,46,1,1,1,33,1,2.0,,,1.0,1.0,6.0,1.0,5.0,1.0,7.0,18.0,2000.0,2.0,,1010488800404.0
112,01010400404046,0101040040404602,27,1,1,4,4,4,2,46,2,1,3,0,2,,,,,,,,,,,,,,,1010488800404.0
113,01010400404046,0101040040404603,27,1,1,4,4,4,2,46,3,2,2,23,1,2.0,,,1.0,1.0,1.0,1.0,15.0,,,,,,,1010488800404.0
114,01010400404060,0101040040406001,28,1,1,4,4,4,2,60,1,2,1,53,1,2.0,,,1.0,8.0,1.0,1.0,15.0,,,,,,,1010488800404.0
115,01010400404060,0101040040406002,28,1,1,4,4,4,2,60,2,2,3,38,1,2.0,,,1.0,6.0,1.0,1.0,15.0,,,,,,,1010488800404.0
116,01010400404060,0101040040406003,28,1,1,4,4,4,2,60,3,1,3,24,1,1.0,2.0,1.0,1.0,5.0,6.0,1.0,5.0,1.0,7.0,18.0,229.0,2.0,,1010488800404.0
117,01010400404060,0101040040406004,28,1,1,4,4,4,2,60,4,1,3,22,1,1.0,2.0,9.0,1.0,5.0,6.0,1.0,10.0,,,,,,,1010488800404.0
118,01010400404060,0101040040406005,28,1,1,4,4,4,2,60,5,1,3,20,1,1.0,1.0,5.0,1.0,5.0,6.0,1.0,10.0,,,,,,,1010488800404.0
119,01010400404060,0101040040406006,28,1,1,4,4,4,2,60,6,2,4,9,1,1.0,1.0,4.0,2.0,,,,,,,,,,,1010488800404.0
120,01010400404060,0101040040406007,28,1,1,4,4,4,2,60,7,2,4,4,2,,,,,,,,,,,,,,,1010488800404.0
121,01010400404084,0101040040408401,29,1,1,4,4,4,2,84,1,1,1,77,1,2.0,,,1.0,5.0,1.0,1.0,3.0,16.0,12.0,22.0,300.0,2.0,,1010488800404.0
122,01010400404103,0101040040410301,30,1,1,4,4,4,2,103,1,1,1,64,1,1.0,2.0,4.0,1.0,1.0,6.0,1.0,5.0,1.0,6.0,15.0,500.0,1.0,0.0,1010488800404.0
123,01010400404103,0101040040410302,30,1,1,4,4,4,2,103,2,1,3,20,1,1.0,2.0,5.0,1.0,5.0,6.0,1.0,8.0,,7.0,15.0,1050.0,1.0,0.0,1010488800404.0
124,01010400404103,0101040040410303,30,1,1,4,4,4,2,103,3,1,3,17,1,1.0,1.0,6.0,1.0,5.0,6.0,1.0,10.0,,,,,,,1010488800404.0
125,01010400404103,0101040040410304,30,1,1,4,4,4,2,103,4,1,3,14,1,1.0,1.0,7.0,1.0,5.0,6.0,2.0,,,,,,,,1010488800404.0
126,01010400404103,0101040040410305,30,1,1,4,4,4,2,103,5,1,3,9,1,1.0,1.0,2.0,2.0,,,,,,,,,,,1010488800404.0
127,01010400404103,0101040040410306,30,1,1,4,4,4,2,103,6,2,2,53,1,2.0,,,1.0,1.0,1.0,1.0,15.0,,,,,,,1010488800404.0
128,01010400404122,0101040040412201,31,1,1,4,4,4,2,122,1,1,1,60,1,2.0,,,1.0,1.0,6.0,1.0,5.0,1.0,7.0,20.0,500.0,2.0,,1010488800404.0
129,01010400404122,0101040040412202,31,1,1,4,4,4,2,122,2,2,2,45,1,2.0,,,1.0,1.0,1.0,1.0,15.0,,,,,,,1010488800404.0
130,01010400404122,0101040040412203,31,1,1,4,4,4,2,122,3,1,3,20,1,1.0,1.0,7.0,1.0,5.0,6.0,1.0,10.0,,,,,,,1010488800404.0
131,01010400404122,0101040040412204,31,1,1,4,4,4,2,122,4,2,3,18,1,1.0,1.0,10.0,1.0,5.0,4.0,1.0,10.0,,,,,,,1010488800404.0
132,01010400404122,0101040040412205,31,1,1,4,4,4,2,122,5,1,3,14,1,2.0,,,1.0,5.0,6.0,2.0,,,,,,,,1010488800404.0
133,01010400404122,0101040040412206,31,1,1,4,4,4,2,122,6,1,3,12,1,1.0,1.0,5.0,1.0,5.0,6.0,2.0,,,,,,,,1010488800404.0
134,01010400404122,0101040040412207,31,1,1,4,4,4,2,122,7,2,3,7,1,1.0,1.0,3.0,2.0,,,,,,,,,,,1010488800404.0
135,01010400404141,0101040040414101,32,1,1,4,4,4,2,141,1,2,1,60,1,2.0,,,1.0,6.0,1.0,1.0,5.0,1.0,7.0,19.0,300.0,2.0,,1010488800404.0
136,01010400404141,0101040040414102,32,1,1,4,4,4,2,141,2,1,4,12,1,1.0,1.0,4.0,1.0,5.0,6.0,2.0,,,,,,,,1010488800404.0
137,01010400404160,0101040040416001,33,1,1,4,4,4,2,160,1,1,1,58,1,1.0,2.0,3.0,1.0,1.0,6.0,1.0,5.0,1.0,7.0,20.0,600.0,2.0,,1010488800404.0
138,01010400404160,0101040040416002,33,1,1,4,4,4,2,160,2,2,2,50,1,2.0,,,1.0,1.0,1.0,1.0,15.0,,,,,,,1010488800404.0
139,01010400404160,0101040040416003,33,1,1,4,4,4,2,160,3,1,3,24,1,2.0,,,1.0,5.0,6.0,1.0,5.0,1.0,7.0,19.0,400.0,2.0,,1010488800404.0
140,01010400404160,0101040040416004,33,1,1,4,4,4,2,160,4,2,3,14,1,1.0,1.0,6.0,1.0,5.0,1.0,2.0,,,,,,,,1010488800404.0
141,01010400404160,0101040040416005,33,1,1,4,4,4,2,160,5,1,3,12,1,1.0,1.0,3.0,1.0,5.0,6.0,2.0,,,,,,,,1010488800404.0
142,01010400404160,0101040040416006,33,1,1,4,4,4,2,160,6,2,3,6,1,2.0,,,2.0,,,,,,,,,,,1010488800404.0
143,01010400404178,0101040040417801,34,1,1,4,4,4,2,178,1,1,1,30,1,1.0,2.0,4.0,1.0,1.0,6.0,1.0,5.0,1.0,6.0,15.0,1000.0,2.0,,1010488800404.0
144,01010400404178,0101040040417802,34,1,1,4,4,4,2,178,2,2,2,25,1,1.0,1.0,5.0,1.0,1.0,1.0,1.0,15.0,,,,,,,1010488800404.0
145,01010400404178,0101040040417803,34,1,1,4,4,4,2,178,3,1,3,5,1,2.0,,,2.0,,,,,,,,,,,1010488800404.0
146,01010400404178,0101040040417804,34,1,1,4,4,4,2,178,4,2,3,7,1,2.0,,,2.0,,,,,,,,,,,1010488800404.0
