,HHID,H2,H3,H4,H5,H6,H7,H8,H9,H12,H13,H14,H14_unit,H15,C2
379,01010301101028,19,2,,,,,,,,,,,,1
380,01010301101034,1,2,,,,,,,,,,,,1
381,01010301101034,2,2,,,,,,,,,,,,1
382,01010301101034,3,1,,1.0,,1.0,,,1.0,12.0,4.0,12.0,0.0,1
383,01010301101034,4,1,,1.0,,,,11.0,13.0,1.0,50.0,1.0,60.0,1
384,01010301101034,5,2,,,,,,,-88.0,-88.0,-88.0,-88.0,-88.0,1
385,01010301101034,6,2,,,,,,,,,,,,1
386,01010301101034,7,2,,,,,,,,,,,,1
387,01010301101034,8,2,,,,,,,,,,,,1
388,01010301101034,9,1,,1.0,,,,,1.0,5.0,4.0,5.0,0.0,1
389,01010301101034,10,2,,,,,,,,,,,,1
390,01010301101034,11,2,,,,,,,,,,,,1
391,01010301101034,12,2,,,,,,,,,,,,1
392,01010301101034,13,2,,,,,,,,,,,,1
393,01010301101034,14,1,1.0,,,,,,10.0,15.0,43.0,15.0,15.0,1
394,01010301101034,15,2,,,,,,,,,,,,1
395,01010301101034,16,2,,,,,,,,,,,,1
396,01010301101034,17,2,,,,,,,,,,,,1
397,01010301101034,18,2,,,,,,,,,,,,1
398,01010301101034,19,2,,,,,,,,,,,,1
399,01010301101040,1,2,,,,,,,,,,,,1
400,01010301101040,2,2,,,,,,,,,,,,1
401,01010301101040,3,1,,1.0,,1.0,,,1.0,12.0,4.0,12.0,0.0,1
402,01010301101040,4,1,,1.0,,1.0,,11.0,13.0,1.0,50.0,1.0,60.0,1
403,01010301101040,5,2,,,,,,,-88.0,-88.0,-88.0,-88.0,-88.0,1
404,01010301101040,6,1,1.0,,,,,,1.0,7.0,1.0,7.0,7.0,1
405,01010301101040,7,2,,,,,,,,,,,,1
406,01010301101040,8,2,,,,,,,,,,,,1
407,01010301101040,9,1,,1.0,,,,,1.0,5.0,4.0,5.0,0.0,1
408,01010301101040,10,1,,1.0,,1.0,,,1.0,3.0,2.0,3.0,0.0,1
409,01010301101040,11,2,,,,,,,,,,,,1
410,01010301101040,12,2,,,,,,,,,,,,1
411,01010301101040,13,2,,,,,,,,,,,,1
412,01010301101040,14,1,1.0,,,,,,10.0,15.0,43.0,15.0,15.0,1
413,01010301101040,15,2,,,,,,,,,,,,1
414,01010301101040,16,2,,,,,,,,,,,,1
415,01010301101040,17,2,,,,,,,,,,,,1
416,01010301101040,18,2,,,,,,,,,,,,1
417,01010301101040,19,2,,,,,,,,,,,,1
418,01010301101046,1,2,,,,,,,,,,,,1
419,01010301101046,2,2,,,,,,,,,,,,1
420,01010301101046,3,1,,1.0,,1.0,,,2.0,12.0,8.0,12.0,0.0,1
421,01010301101046,4,1,,1.0,,,,11.0,13.0,1.0,50.0,1.0,50.0,1
422,01010301101046,5,2,,,,,,,-88.0,-88.0,-88.0,-88.0,-88.0,1
423,01010301101046,6,2,,,,,,,,,,,,1
424,01010301101046,7,2,,,,,,,,,,,,1
425,01010301101046,8,2,,,,,,,,,,,,1
426,01010301101046,9,2,,,,,,,,,,,,1
427,01010301101046,10,1,,1.0,,,,,1.0,12.0,4.0,12.0,0.0,1
428,01010301101046,11,2,,,,,,,,,,,,1
429,01010301101046,12,2,,,,,,,,,,,,1
430,01010301101046,13,2,,,,,,,,,,,,1
431,01010301101046,14,1,1.0,,,,,,10.0,15.0,43.0,15.0,15.0,1
432,01010301101046,15,2,,,,,,,,,,,,1
433,01010301101046,16,2,,,,,,,,,,,,1
434,01010301101046,17,2,,,,,,,,,,,,1
435,01010301101046,18,2,,,,,,,,,,,,1
436,01010301101046,19,2,,,,,,,,,,,,1
437,01010301101052,1,2,,,,,,,,,,,,1
438,01010301101052,2,2,,,,,,,,,,,,1
439,01010301101052,3,1,,1.0,,1.0,,10.0,2.0,12.0,8.0,12.0,0.0,1
440,01010301101052,4,1,,1.0,,,,11.0,13.0,1.0,50.0,1.0,0.0,1
441,01010301101052,5,2,,,,,,,-88.0,-88.0,-88.0,-88.0,-88.0,1
442,01010301101052,6,2,,,,,,,,,,,,1
443,01010301101052,7,2,,,,,,,,,,,,1
444,01010301101052,8,2,,,,,,,,,,,,1
445,01010301101052,9,1,,1.0,,,,,2.0,5.0,8.0,5.0,0.0,1
446,01010301101052,10,1,,1.0,,1.0,1.0,,1.0,3.0,4.0,3.0,0.0,1
