,CommunityID,HI_1,HI_2,HI_3,HI_4,HI_5,HI_6,a8,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H14_w,H14_t,H15_w,H15_t,H16_w,H16_t,H17_w,H17_t,H18,H21_mm,H21_yy,H19,H20_first,H20_second,H21,H22,H23,H24,H25,H26
83,04231301905,4,23,13,19,5,2,1,3,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.0
84,04240101704,4,24,1,17,4,2,1,1,,,,,1.0,1644.0,4.0,150.0,50.0,1.0,2.0,2.0,,,,,1.0,1.0,1.0,6.0,2009.0,5.0,1.0,2.0,1.0,3.0,3.0,5.0,1,10.0
85,04240602203,4,24,6,22,3,2,1,3,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,20.0
86,04242204001,4,24,22,40,1,2,1,3,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25.0
87,04250800404,4,25,8,4,4,2,4,3,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
88,04260801102,4,26,8,11,2,2,1,3,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,40.0
89,04260803103,4,26,8,31,3,2,1,3,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,60.0
90,04261701902,4,26,17,19,2,2,1,3,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10.0
91,04271800107,4,27,18,1,7,1,2,1,,,,,28.0,-888.0,2.0,,,1.0,2.0,2.0,24.0,24.0,4.0,4.0,1.0,1.0,2.0,,,,2.0,3.0,4.0,2.0,2.0,3.0,2,
92,04280201505,4,28,2,15,5,2,5,3,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30.0
93,04280203203,4,28,2,32,3,2,4,3,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
94,04280900226,4,28,9,2,26,1,4,1,,,,,44.0,-888.0,1.0,720.0,15.0,1.0,2.0,2.0,16.0,21.0,2.0,4.0,2.0,1.0,2.0,,,,3.0,2.0,1.0,1.0,3.0,4.0,2,
95,04290100110,4,29,1,1,10,1,1,1,,,,,28.0,20000.0,1.0,2092.0,11.0,1.0,2.0,2.0,22.0,23.0,3.0,4.0,2.0,1.0,2.0,,,,2.0,7.0,2.0,1.0,1.0,2.0,2,
