,HHID,M_a,M_b,M1
661,01010400804167,0.0,,2
662,01010400804167,1.0,12.0,3
663,01010400804167,0.0,,4
664,01010400804167,0.0,,5
665,01010400804167,0.0,,6
666,01010400804167,0.0,,7
667,01010400804167,0.0,,8
668,01010400804167,0.0,,9
669,01010400804167,0.0,,10
670,01010400804167,0.0,,11
671,01010400804167,0.0,,12
672,01010400804167,0.0,,13
673,01010400804167,0.0,,14
674,01010400804167,0.0,,15
675,01010400804187,0.0,,1
676,01010400804187,0.0,,2
677,01010400804187,1.0,12.0,3
678,01010400804187,0.0,,4
679,01010400804187,0.0,,5
680,01010400804187,0.0,,6
681,01010400804187,0.0,,7
682,01010400804187,0.0,,8
683,01010400804187,0.0,,9
684,01010400804187,0.0,,10
685,01010400804187,0.0,,11
686,01010400804187,0.0,,12
687,01010400804187,0.0,,13
688,01010400804187,0.0,,14
689,01010400804187,0.0,,15
690,01010400804207,0.0,,1
691,01010400804207,0.0,,2
692,01010400804207,0.0,,3
693,01010400804207,0.0,,4
694,01010400804207,0.0,,5
695,01010400804207,0.0,,6
696,01010400804207,0.0,,7
697,01010400804207,1.0,,8
698,01010400804207,0.0,,9
699,01010400804207,1.0,,10
700,01010400804207,0.0,,11
701,01010400804207,0.0,,12
702,01010400804207,0.0,,13
703,01010400804207,0.0,,14
704,01010400804207,0.0,,15
705,01010400804227,0.0,,1
706,01010400804227,0.0,,2
707,01010400804227,0.0,,3
708,01010400804227,0.0,,4
709,01010400804227,0.0,,5
710,01010400804227,0.0,,6
711,01010400804227,0.0,,7
712,01010400804227,0.0,,8
713,01010400804227,0.0,,9
714,01010400804227,0.0,,10
715,01010400804227,0.0,,11
716,01010400804227,0.0,,12
717,01010400804227,0.0,,13
718,01010400804227,0.0,,14
719,01010400804227,0.0,,15
720,01020600113003,0.0,,1
721,01020600113003,0.0,,2
722,01020600113003,0.0,,3
723,01020600113003,0.0,,4
724,01020600113003,0.0,,5
725,01020600113003,0.0,,6
726,01020600113003,0.0,,7
727,01020600113003,0.0,,8
728,01020600113003,0.0,,9
729,01020600113003,0.0,,10
730,01020600113003,0.0,,11
731,01020600113003,0.0,,12
732,01020600113003,0.0,,13
733,01020600113003,0.0,,14
734,01020600113003,0.0,,15
735,01020600113011,0.0,,1
736,01020600113011,0.0,,2
737,01020600113011,0.0,,3
738,01020600113011,0.0,,4
739,01020600113011,0.0,,5
740,01020600113011,0.0,,6
741,01020600113011,0.0,,7
742,01020600113011,0.0,,8
743,01020600113011,0.0,,9
744,01020600113011,0.0,,10
745,01020600113011,0.0,,11
746,01020600113011,0.0,,12
747,01020600113011,0.0,,13
748,01020600113011,0.0,,14
749,01020600113011,0.0,,15
750,01020600113019,0.0,,1
751,01020600113019,0.0,,2
752,01020600113019,0.0,,3
753,01020600113019,0.0,,4
754,01020600113019,0.0,,5
755,01020600113019,0.0,,6
756,01020600113019,0.0,,7
757,01020600113019,0.0,,8
758,01020600113019,0.0,,9
759,01020600113019,0.0,,10
760,01020600113019,0.0,,11
761,01020600113019,0.0,,12
762,01020600113019,0.0,,13
763,01020600113019,0.0,,14
764,01020600113019,0.0,,15
765,01020600113027,0.0,,1
766,01020600113027,0.0,,2
767,01020600113027,0.0,,3
768,01020600113027,0.0,,4
769,01020600113027,0.0,,5
770,01020600113027,0.0,,6
771,01020600113027,0.0,,7
772,01020600113027,0.0,,8
773,01020600113027,0.0,,9
774,01020600113027,0.0,,10
775,01020600113027,0.0,,11
776,01020600113027,0.0,,12
777,01020600113027,0.0,,13
778,01020600113027,0.0,,14
779,01020600113027,0.0,,15
780,01020600113035,0.0,,1
781,01020600113035,0.0,,2
782,01020600113035,0.0,,3
783,01020600113035,0.0,,4
784,01020600113035,0.0,,5
785,01020600113035,0.0,,6
786,01020600113035,0.0,,7
787,01020600113035,0.0,,8
788,01020600113035,0.0,,9
789,01020600113035,0.0,,10
790,01020600113035,0.0,,11
791,01020600113035,0.0,,12
792,01020600113035,0.0,,13
793,01020600113035,0.0,,14
794,01020600113035,0.0,,15
795,01020600113043,0.0,,1
796,01020600113043,0.0,,2
797,01020600113043,0.0,,3
798,01020600113043,0.0,,4
799,01020600113043,0.0,,5
800,01020600113043,0.0,,6
801,01020600113043,0.0,,7
802,01020600113043,0.0,,8
803,01020600113043,0.0,,9
804,01020600113043,0.0,,10
805,01020600113043,0.0,,11
806,01020600113043,0.0,,12
807,01020600113043,0.0,,13
808,01020600113043,0.0,,14
809,01020600113043,0.0,,15
810,01020600113051,0.0,,1
811,01020600113051,0.0,,2
812,01020600113051,0.0,,3
813,01020600113051,0.0,,4
814,01020600113051,0.0,,5
815,01020600113051,0.0,,6
816,01020600113051,0.0,,7
817,01020600113051,0.0,,8
818,01020600113051,0.0,,9
819,01020600113051,0.0,,10
820,01020600113051,0.0,,11
821,01020600113051,0.0,,12
822,01020600113051,0.0,,13
823,01020600113051,0.0,,14
824,01020600113051,0.0,,15
825,01020600113059,0.0,,1
826,01020600113059,0.0,,2
827,01020600113059,0.0,,3
828,01020600113059,0.0,,4
829,01020600113059,0.0,,5
830,01020600113059,0.0,,6
831,01020600113059,0.0,,7
832,01020600113059,0.0,,8
833,01020600113059,0.0,,9
834,01020600113059,0.0,,10
835,01020600113059,0.0,,11
836,01020600113059,0.0,,12
837,01020600113059,0.0,,13
838,01020600113059,0.0,,14
839,01020600113059,0.0,,15
840,01020600113067,0.0,,1
841,01020600113067,0.0,,2
842,01020600113067,0.0,,3
843,01020600113067,0.0,,4
844,01020600113067,0.0,,5
845,01020600113067,0.0,,6
846,01020600113067,0.0,,7
847,01020600113067,0.0,,8
848,01020600113067,0.0,,9
849,01020600113067,0.0,,10
850,01020600113067,0.0,,11
851,01020600113067,0.0,,12
852,01020600113067,0.0,,13
853,01020600113067,0.0,,14
854,01020600113067,0.0,,15
855,01020600113075,0.0,,1
856,01020600113075,0.0,,2
857,01020600113075,0.0,,3
858,01020600113075,0.0,,4
859,01020600113075,0.0,,5
860,01020600113075,0.0,,6
861,01020600113075,0.0,,7
862,01020600113075,0.0,,8
863,01020600113075,0.0,,9
864,01020600113075,0.0,,10
865,01020600113075,0.0,,11
866,01020600113075,0.0,,12
867,01020600113075,0.0,,13
868,01020600113075,0.0,,14
869,01020600113075,0.0,,15
870,01020600113083,0.0,,1
871,01020600113083,0.0,,2
872,01020600113083,0.0,,3
873,01020600113083,0.0,,4
874,01020600113083,0.0,,5
875,01020600113083,0.0,,6
876,01020600113083,0.0,,7
877,01020600113083,0.0,,8
878,01020600113083,0.0,,9
879,01020600113083,0.0,,10
880,01020600113083,0.0,,11
881,01020600113083,0.0,,12
882,01020600113083,0.0,,13
883,01020600113083,0.0,,14
884,01020600113083,0.0,,15
885,01020600113091,0.0,,1
886,01020600113091,0.0,,2
887,01020600113091,0.0,,3
888,01020600113091,0.0,,4
889,01020600113091,0.0,,5
890,01020600113091,0.0,,6
891,01020600113091,0.0,,7
892,01020600113091,0.0,,8
893,01020600113091,0.0,,9
894,01020600113091,0.0,,10
895,01020600113091,0.0,,11
896,01020600113091,0.0,,12
897,01020600113091,0.0,,13
898,01020600113091,0.0,,14
899,01020600113091,0.0,,15
900,01020801604004,0.0,,1
901,01020801604004,0.0,,2
902,01020801604004,0.0,,3
903,01020801604004,0.0,,4
904,01020801604004,0.0,,5
905,01020801604004,0.0,,6
906,01020801604004,0.0,,7
907,01020801604004,6.0,,8
908,01020801604004,0.0,,9
909,01020801604004,1.0,,10
910,01020801604004,0.0,,11
911,01020801604004,0.0,,12
912,01020801604004,0.0,,13
913,01020801604004,0.0,,14
914,01020801604004,0.0,,15
915,01020801604014,0.0,,1
916,01020801604014,0.0,,2
917,01020801604014,0.0,,3
918,01020801604014,0.0,,4
919,01020801604014,0.0,,5
920,01020801604014,0.0,,6
921,01020801604014,0.0,,7
922,01020801604014,5.0,,8
923,01020801604014,0.0,,9
924,01020801604014,0.0,,10
925,01020801604014,0.0,,11
