,HHID,C144,C146_wm,C146_tm,C147_wm,C147_tm,C148_wm,C148_tm,C149,C150,C152,C153,C154,C155,C155_other,C156,C157,C157_other,C158,C159,C160,C161,C162,C163,C164,C165
195,01060200506037,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
196,01060200506048,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
197,01060200506059,1.0,1.0,4.0,1.0,2.0,1.0,4.0,2.0,2.0,1.0,,2.0,,,3.0,6.0,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
198,01060200506070,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
199,01060200506081,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
200,01060200506092,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
201,01060200506103,2.0,1.0,4.0,0.0,1.0,1.0,4.0,2.0,2.0,2.0,,2.0,,,2.0,6.0,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
202,01060200506114,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
203,01060200506125,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
204,02070101804001,,,,,,,,,,,,,,,,,,8.0,111.0,,,,,,
205,02070101804011,,,,,,,,,,,,,,,,,,8.0,111.0,,,,,,
206,02070101804021,,,,,,,,,,,,,,,,,,8.0,111.0,,,,,,
207,02070101804031,,,,,,,,,,,,,,,,,,8.0,111.0,,,,,,
208,02070101804041,,,,,,,,,,,,,,,,,,8.0,111.0,,,,,,
