,CommunityID,HI_1,HI_2,HI_3,HI_4,HI_5,HI_6,A8,Facility,K4,K5,K6,K7,K10,K11,K12,K13,K15,K16_am,K17_pm,K18,K19,K20,K21,K22,K23,K24,K25,K26_hour,K26_minute,K27,K28,K29,K30,K31,K32_c,K32_u,K33,K34,K35,K36,K37,K38,K39,K40,K41,K42,K43,K44,K45,K46,K47,K48,K49,K50,K51,K52,K53,K54,K55,K56,K57
358,04231301905,4,23,13,19,5,2,1,2,2,5,15.0,4.0,7,2,15.0,,,         2,        11,1,,4.0,24.0,2,888.0,2.0,,,,,1,,,,,,,2008.0,2.0,2.0,,-888.0,2.0,1.0,2.0,0.0,2.0,5.0,1,2,3,2,,1.0,1,2,,,,,
359,07640101801,7,64,1,18,1,2,22,3,1,5,8.0,4.0,12,1,10.0,,,         2,        11,1,,1.0,4.0,2,3.0,1.0,20.0,4.0,0.0,2.0,2,1.0,1.0,54.0,1.0,1.0,2.0,,,,,,,,,,,,2,2,3,2,,3.0,2,2,,,,,
360,07661900703,7,66,19,7,3,1,1,1,1,4,1.0,5.0,2,17,250.0,,,         2,        11,1,,1.0,20.0,2,2.0,1.0,15.0,5.0,60.0,2.0,2,2.0,1.0,250.0,-888.0,1.0,2.0,,,,,,,,,,,,2,1,2,1,3.0,3.0,1,2,,,,,
361,07610101505,7,61,1,15,5,2,11,2,1,6,2.0,3.0,1,20,740.0,,,         2,        11,2,7.0,,0.0,2,1.0,,,,,,2,1.0,9.0,50.0,10.0,3.0,2.0,,,,,,,,,,,,2,2,3,2,,555.0,2,2,,,,,
362,07570901802,7,57,9,18,2,2,1,3,1,6,1.0,5.0,1,21,884.0,,,         2,        11,2,1.0,,888.0,2,888.0,,,,,,2,4.0,8.0,-888.0,-888.0,3.0,2.0,,,,,,,,,,,,2,2,3,2,,7.0,2,2,,,,,
363,04291801901,4,29,18,19,1,2,1,1,1,6,8.0,5.0,12,23,15.0,,,         2,        11,2,1.0,,888.0,2,888.0,,,,,,2,555.0,555.0,-888.0,-888.0,555.0,2.0,,,,,,,,,,,,2,2,3,2,,555.0,2,2,,,,,
364,04381100606,4,38,11,6,6,1,6,1,1,6,1.0,10.0,1,47,2206.0,,,2,        11,1,,1.0,24.0,2,2.0,1.0,3.0,6.0,0.0,3.0,2,1.0,1.0,50.0,0.27,1.0,2.0,,,,,,,,,,,,1,2,3,2,,3.0,2,2,,,,,
365,07510100104,7,51,1,1,4,1,1,2,1,3,2.0,15.0,1,14,452.0,,,         2,        11,1,,1.0,7.0,2,1.0,1.0,50.0,4.0,25.0,1.0,2,1.0,1.0,840.0,1.0,1.0,1.0,,,,,,,,,,,,2,2,2,2,,3.0,2,2,,,,,
366,04301301004,4,30,13,10,4,2,4,3,1,5,3.0,3.0,7,19,15.0,,,         2,        11,1,,5.0,4.0,1,,2.0,,,,,1,,,,,,,2000.0,1.0,2.0,,1000.0,1.0,2.0,5.0,0.0,2.0,1.0,2,2,3,2,,,2,2,,,,,
367,03180100101,3,18,1,1,1,1,1,4,1,6,8.0,8.0,12,8,23.0,,,         2,        11,2,2.0,,24.0,2,2.0,1.0,4.0,1.0,45.0,2.0,2,1.0,1.0,128.0,0.6,1.0,1.0,,,,,,,,,,,,2,2,3,2,,6.0,2,2,,,,,
