,HHID,HI_1,HI_2,HI_3,HI_4,HI_5,HI_6,HI_7new,HI_14,eaid,A0,zone_csa,wereda_name
158,01050101108032,1,5,1,11,8,2,32,28/02/17,1050188801108.0,4,5,QAFTA HUMERA
159,01050101108045,1,5,1,11,8,2,45,28/02/17,1050188801108.0,5,5,QAFTA HUMERA
160,01050101108058,1,5,1,11,8,2,58,28/02/17,1050188801108.0,4,5,QAFTA HUMERA
161,01050101108071,1,5,1,11,8,2,71,28/02/17,1050188801108.0,4,5,QAFTA HUMERA
162,01050101108084,1,5,1,11,8,2,84,28/02/17,1050188801108.0,5,5,QAFTA HUMERA
163,01050101108097,1,5,1,11,8,2,97,28/02/17,1050188801108.0,2,5,QAFTA HUMERA
164,01050101108110,1,5,1,11,8,2,110,01/03/17,1050188801108.0,5,5,QAFTA HUMERA
165,01050101108123,1,5,1,11,8,2,123,01/03/17,1050188801108.0,1,5,QAFTA HUMERA
166,01050101108136,1,5,1,11,8,2,136,01/03/17,1050188801108.0,3,5,QAFTA HUMERA
167,01050101108149,1,5,1,11,8,2,149,01/03/17,1050188801108.0,2,5,QAFTA HUMERA
168,01060100317002,1,6,1,3,17,1,2,04/02/17,1060110100317.0,4,6,DEBUB MEKELE/TOWN/-WEREDA
169,01060100317012,1,6,1,3,17,1,12,03/02/17,1060110100317.0,4,6,DEBUB MEKELE/TOWN/-WEREDA
170,01060100317022,1,6,1,3,17,1,22,03/02/17,1060110100317.0,3,6,DEBUB MEKELE/TOWN/-WEREDA
171,01060100317032,1,6,1,3,17,1,32,05/02/17,1060110100317.0,5,6,DEBUB MEKELE/TOWN/-WEREDA
172,01060100317042,1,6,1,3,17,1,42,03/02/17,1060110100317.0,3,6,DEBUB MEKELE/TOWN/-WEREDA
173,01060100317052,1,6,1,3,17,1,52,04/02/17,1060110100317.0,3,6,DEBUB MEKELE/TOWN/-WEREDA
174,01060100317062,1,6,1,3,17,1,62,04/02/17,1060110100317.0,5,6,DEBUB MEKELE/TOWN/-WEREDA
175,01060100317072,1,6,1,3,17,1,72,04/02/17,1060110100317.0,4,6,DEBUB MEKELE/TOWN/-WEREDA
176,01060100317082,1,6,1,3,17,1,82,06/02/17,1060110100317.0,2,6,DEBUB MEKELE/TOWN/-WEREDA
177,01060100317092,1,6,1,3,17,1,92,06/02/17,1060110100317.0,1,6,DEBUB MEKELE/TOWN/-WEREDA
178,01060100317102,1,6,1,3,17,1,102,06/02/17,1060110100317.0,4,6,DEBUB MEKELE/TOWN/-WEREDA
179,01060100317112,1,6,1,3,17,1,112,06/02/17,1060110100317.0,4,6,DEBUB MEKELE/TOWN/-WEREDA
180,01060200127002,1,6,2,1,27,1,2,25/01/17,1060210100127.0,2,6,SEMEN MEKELE/TOWN/-WEREDA
181,01060200127003,1,6,2,1,27,1,3,25/01/17,1060210100127.0,2,6,SEMEN MEKELE/TOWN/-WEREDA
182,01060200127031,1,6,2,1,27,1,31,25/01/17,1060210100127.0,2,6,SEMEN MEKELE/TOWN/-WEREDA
183,01060200127045,1,6,2,1,27,1,45,26/01/17,1060210100127.0,2,6,SEMEN MEKELE/TOWN/-WEREDA
184,01060200127058,1,6,2,1,27,1,58,26/01/17,1060210100127.0,3,6,SEMEN MEKELE/TOWN/-WEREDA
185,01060200127072,1,6,2,1,27,1,72,26/01/17,1060210100127.0,3,6,SEMEN MEKELE/TOWN/-WEREDA
186,01060200127086,1,6,2,1,27,1,86,26/01/17,1060210100127.0,4,6,SEMEN MEKELE/TOWN/-WEREDA
187,01060200127100,1,6,2,1,27,1,100,27/01/17,1060210100127.0,2,6,SEMEN MEKELE/TOWN/-WEREDA
188,01060200127113,1,6,2,1,27,1,113,27/01/17,1060210100127.0,4,6,SEMEN MEKELE/TOWN/-WEREDA
189,01060200127128,1,6,2,1,27,1,128,27/01/17,1060210100127.0,4,6,SEMEN MEKELE/TOWN/-WEREDA
190,01060200127142,1,6,2,1,27,1,142,27/01/17,1060210100127.0,4,6,SEMEN MEKELE/TOWN/-WEREDA
191,01060200127156,1,6,2,1,27,1,156,27/01/17,1060210100127.0,4,6,SEMEN MEKELE/TOWN/-WEREDA
192,01060200506004,1,6,2,5,6,1,4,30/01/17,1060210100506.0,5,6,SEMEN MEKELE/TOWN/-WEREDA
193,01060200506015,1,6,2,5,6,1,15,30/01/17,1060210100506.0,6,6,SEMEN MEKELE/TOWN/-WEREDA
194,01060200506026,1,6,2,5,6,1,26,30/01/17,1060210100506.0,4,6,SEMEN MEKELE/TOWN/-WEREDA
195,01060200506037,1,6,2,5,6,1,37,30/01/17,1060210100506.0,6,6,SEMEN MEKELE/TOWN/-WEREDA
196,01060200506048,1,6,2,5,6,1,48,31/01/17,1060210100506.0,2,6,SEMEN MEKELE/TOWN/-WEREDA
